,SCOPUS ID,PUBMED ID,title,journal,volume,articlenum,date,type,forward citations,abstract,keywords,authors,backward citations,id,CONTROVERSIAL,GOOD_FOR_TEACHING,CONFIRMATION,TECHNICAL_ADVANCE,NOVEL_DRUG_TARGET,NEW_FINDING,HYPOTHESIS,REFUTATION,NEGATIVE,year
12036,SCOPUS_ID:84861550476,22608083,The life history of 21 breast cancers,Cell,149.0,994-1007,2012-05-25,Article,962,"Cancer evolves dynamically as clonal expansions supersede one another driven by shifting selective pressures, mutational processes, and disrupted cancer genes. These processes mark the genome, such that a cancer's life history is encrypted in the somatic mutations present. We developed algorithms to decipher this narrative and applied them to 21 breast cancers. Mutational processes evolve across a cancer's lifespan, with many emerging late but contributing extensive genetic variation. Subclonal diversification is prominent, and most mutations are found in just a fraction of tumor cells. Every tumor has a dominant subclonal lineage, representing more than 50% of tumor cells. Minimal expansion of these subclones occurs until many hundreds to thousands of mutations have accumulated, implying the existence of long-lived, quiescent cell lineages capable of substantial proliferation upon acquisition of enabling genomic changes. Expansion of the dominant subclone to an appreciable mass may therefore represent the final rate-limiting step in a breast cancer's development, triggering diagnosis. © 2012 Elsevier Inc.",,Nik-Zainal S.; Van Loo P.; Wedge D.C.; Alexandrov L.B.; Greenman C.D.; Lau K.W.; Raine K.; Jones D.; Marshall J.; Ramakrishna M.; Shlien A.; Cooke S.L.; Hinton J.; Menzies A.; Stebbings L.A.; Leroy C.; Jia M.; Rance R.; Mudie L.J.; Gamble S.J.; Stephens P.J.; McLaren S.; Tarpey P.S.; Papaemmanuil E.; Davies H.R.; Varela I.; McBride D.J.; Bignell G.R.; Leung K.; Butler A.P.; Teague J.W.; Martin S.; Jonsson G.; Mariani O.; Boyault S.; Miron P.; Fatima A.; Langerod A.; Aparicio S.A.J.R.; Tutt A.; Sieuwerts A.M.; Borg A.; Thomas G.; Salomon A.V.; Richardson A.L.; Borresen-Dale A.-L.; Futreal P.A.; Stratton M.R.; Campbell P.J.,40.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012
1050,SCOPUS_ID:0018702930,227607,Chicken hematopoietic cells transformed by seven strains of defective avian leukemia viruses display three distinct phenotypes of differentiation,Cell,18.0,375-390,1979-01-01,Article,558,"Chicken hematopoietic cells transformed in vitro and in vivo by seven strains of replication-defective avian leukemia viruses were assayed for the expression of six erythroid and five myeloid differentiation parameters, including differentiation-specific surface antigens as detected by newly developed antisera. The transformed cells were found to display three distinct phenotypes of differentiation. First, cells transformed by AEV resemble erythroblasts. They express heme, globin, carbonic anhydrase and erythrocyte cell surface antigen at low levels, and histone H5 and erythroblast cell surface antigen at high levels. Second, cells transformed by MC29, CMII, OK10 and MH2 viruses have macrophage-like properties. They strongly express Fc receptors, phagocytic capacity and macrophage cell surface antigen, but only weakly express myeloblast cell surface antigen and are negative for ATPase activity. Third, cells transformed by AMV and E26 viruses resemble myeloblasts in that they weakly express Fc receptors, phagocytic capacity and macrophage cell surface antigen but strongly express myeloblast cell surface antigen and ATPase activity. No difference was found between in vitro- and in vivo-transformed cells in the parameters tested. In light of recent genetic and biochemical evidence, we believe that these phenotypes reflect the action of three new types of viral-transforming genes, designated erb (erythroblast), mac (macrophage) and myb (myeloblast). © 1979.",,Beug H.; von Kirchbach A.; Doderlein G.; Conscience J.-F.; Graf T.,56.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1979
7348,SCOPUS_ID:0030473888,8980230,"A cyclin-dependent kinase inhibitor, dacapo, is necessary for timely exit from the cell cycle during Drosophila embryogenesis",Cell,87.0,1237-1247,1996-12-27,Article,282,"In a screen for genes that interact with the Rap1 GTPase, we have identified a Drosophila gene, dacapo (dap), which is a member of the p21/p27 family of cdk inhibitors. Unlike mammalian cdk inhibitors studied to date, clap is essential for normal embryonic development. Dacapo inhibits cyclin- cdk activity in vitro. Overexpressing dap during eye development interferes with cell cycle progression and interacts genetically with the retinoblastoma homolog (Rbf) and cyclin E. clap expression in embryos parallels the exit of cells from the cell cycle. dap mutant embryos delay the normal cell cycle exit during development; many cells complete an additional cycle and subsequently become quiescent. Thus, dap functions during embryogenesis to achieve a precisely timed exit from the cell cycle.",,De Nooij J.C.; Letendre M.A.; Hariharan I.K.,48.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996
10978,SCOPUS_ID:72249104107,20064376,Jumonji Modulates Polycomb Activity and Self-Renewal versus Differentiation of Stem Cells,Cell,139.0,1303-1314,2009-12-24,Article,353,"Trimethylation on histone H3 lysine 27 (H3K27me3) by Polycomb repressive complex 2 (PRC2) regulates the balance between self-renewal and differentiation of embryonic stem cells (ESCs). The mechanisms controlling the activity and recruitment of PRC2 are largely unknown. Here we demonstrate that the founding member of the Jumonji family, JMJ (JUMONJI or JARID2), is associated with PRC2, colocalizes with PRC2 and H3K27me3 on chromatin, and modulates PRC2 function. In vitro JMJ inhibits PRC2 methyltransferase activity, consistent with increased H3K27me3 marks at PRC2 targets in Jmj-/- ESCs. Paradoxically, JMJ is required for efficient binding of PRC2, indicating that the interplay of PRC2 and JMJ fine-tunes deposition of the H3K27me3 mark. During differentiation, activation of genes marked by H3K27me3 and lineage commitments are delayed in Jmj-/- ESCs. Our results demonstrate that dynamic regulation of Polycomb complex activity orchestrated by JMJ balances self-renewal and differentiation, highlighting the involvement of chromatin dynamics in cell-fate transitions. © 2009 Elsevier Inc. All rights reserved.",DEVBIO; PROTEINS; STEMCELL,Shen X.; Kim W.; Fujiwara Y.; Simon M.D.; Liu Y.; Mysliwiec M.R.; Yuan G.-C.; Lee Y.; Orkin S.H.,48.0,1361958.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2009
9333,SCOPUS_ID:0037169345,11832216,Regulation of opioid receptor trafficking and morphine tolerance by receptor oligomerization,Cell,108.0,271-282,2002-01-25,Article,283,"The utility of morphine for the treatment of chronic pain is hindered by the development of tolerance to the analgesic effects of the drug. Morphine is unique among opiates in its ability to activate the mu opioid receptor (MOR) without promoting its desensitization and endocytosis. Here we demonstrate that [D-Ala2-MePhe4-Gly5-ol] enkephalin (DAMGO) can facilitate the ability of morphine to stimulate MOR endocytosis. As a consequence, rats treated chronically with both drugs show reduced analgesic tolerance compared to rats treated with morphine alone. These results demonstrate that endocytosis of the MOR can reduce the development of tolerance, and hence suggest an approach for the development of opiate analogs with enhanced efficacy for the treatment of chronic pain.",,He L.; Fong J.; Von Zastrow M.; Whistler J.L.,57.0,1004260.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2002
8089,SCOPUS_ID:0032515138,9827800,Spatially restricted expression of pipe in the Drosophila egg chamber defines embryonic dorsal-ventral polarity,Cell,95.0,471-481,1998-11-13,Article,184,"Expression of pipe in the somatic tissue of the Drosophila ovary is required for the formation of embryonic dorsal-ventral polarity. pipe, which encodes an enzyme similar to the glycosaminoglycan-modifying enzyme heparan sulfate 2-O-sulfotransferase, is expressed in a spatially restricted domain of follicle cells on the ventral side of the egg chamber. Mutations that affect follicular polarity correspondingly alter the spatial pattern of pipe expression. Directed expression of pipe in otherwise pipe mutant females restores embryonic lateral and ventral pattern elements and can orient the dorsal-ventral axis of the embryo. Thus, the localized expression of pipe and the spatially restricted modification of carbohydrate chains play pivotal roles in the mechanisms that establish embryonic pattern and integrate follicular and embryonic polarity.",,Sen J.; Goltz J.S.; Stevens L.; Stein D.,66.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998
3101,SCOPUS_ID:0021140557,6231105,An alternative pathway of T-cell activation: A functional role for the 50 kd T11 sheep erythrocyte receptor protein,Cell,36.0,897-906,1984-01-01,Article,919,"A series of seven monoclonal antibodies was produced against the T-lineage-specific 50 kd T11 sheep erythrocyte rosette (SRBC) receptor protein in order to define the function of the molecule. Three distinct epitopes were detected: T111, the SRBC binding site expressed on all T lymphocytes and thymocytes; T112, an epitope unrelated to the SRBC binding site but with a similar distribution; and T113, a neo-epitope expressed only upon T-cell activation. Simultaneous triggering of T112 and T113 epitopes by monoclonal antibodies induces T lymphocytes to proliferate and mediate their functional programs in the absence of antigen and/or antigen-presenting cells. This antigen-independent mode of triggering is distinct from that involving the T3-Ti antigen receptor complex and represents an alternate pathway of T-cell activation. Given that T11 is the earliest T-lineage surface glycoprotein to appear in thymic ontogeny and is thus expressed before T3-Ti, the former may be involved in clonal expansion and/or differentiation during early development. © 1984.",,Meuer S.C.; Hussey R.E.; Fabbi M.; Fox D.; Acuto O.; Fitzgerald K.A.; Hodgdon J.C.; Protentis J.P.; Schlossman S.F.; Reinherz E.L.,39.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1984
9809,SCOPUS_ID:1342264311,14980221,"TFIIH Transcription Factor, a Target for the Rift Valley Hemorrhagic Fever Virus",Cell,116.0,541-550,2004-02-20,Article,232,"The Rift Valley fever virus (RVFV) is the causative agent of fatal hemorrhagic fever in humans and acute hepatitis in ruminants. We found that infection by RVFV leads to a rapid and drastic suppression of host cellular RNA synthesis that parallels a decrease of the TFIIH transcription factor cellular concentration. Using yeast two hybrid system, recombinant technology, and confocal microscopy, we further demonstrated that the nonstructural viral NSs protein interacts with the p44 component of TFIIH to form nuclear filamentous structures that also contain XPB subunit of TFIIH. By competing with XPD, the natural partner of p44 within TFIIH, and sequestering p44 and XPB subunits, NSs prevents the assembly of TFIIH subunits, thus destabilizing the normal host cell life. These observations shed light on the mechanism utilized by RVFV to evade the host response.",,Le May N.; Dubaele S.; De Santis L.P.; Billecocq A.; Bouloy M.; Egly J.-M.,45.0,1018280.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2004
9657,SCOPUS_ID:5344273899,15454084,Mammalian Ryk is a Wnt coreceptor required for stimulation of neurite outgrowth,Cell,119.0,97-108,2004-10-01,Article,366,"The Ryk receptor belongs to the atypical receptor tyrosine kinase family. It is a new member of the family of Wnt receptor proteins. However, the molecular mechanisms by which the Ryk receptor functions remain unknown. Here, we report that mammalian Ryk, unlike the Drosophila Ryk homolog Derailed, functions as a coreceptor along with Frizzled for Wnt ligands. Ryk also binds to Dishevelled, through which it activates the canonical Wnt pathway, providing a link between Wnt and Dishevelled. Transgenic mice expressing Ryk siRNA exhibit defects in axon guidance, and Ryk is required for neurite outgrowth induced by Wnt-3a and in the activation of T cell factor (TCF) induced by Wnt-1. Thus, Ryk appears to play a crucial role in Wnt-mediated signaling.",,Lu W.; Yamamoto V.; Ortega B.; Baltimore D.,57.0,1021979.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2004
11038,SCOPUS_ID:70349807756,19837034,Structural Insight into Processive Human Mitochondrial DNA Synthesis and Disease-Related Polymerase Mutations,Cell,139.0,312-324,2009-10-16,Article,158,"Human mitochondrial DNA polymerase (Pol γ) is the sole replicase in mitochondria. Pol γ is vulnerable to nonselective antiretroviral drugs and is increasingly associated with mutations found in patients with mitochondriopathies. We determined crystal structures of the human heterotrimeric Pol γ holoenzyme and, separately, a variant of its processivity factor, Pol γB. The holoenzyme structure reveals an unexpected assembly of the mitochondrial DNA replicase where the catalytic subunit Pol γA interacts with its processivity factor primarily via a domain that is absent in all other DNA polymerases. This domain provides a structural module for supporting both the intrinsic processivity of the catalytic subunit alone and the enhanced processivity of holoenzyme. The Pol γ structure also provides a context for interpreting the phenotypes of disease-related mutations in the polymerase and establishes a foundation for understanding the molecular basis of toxicity of anti-retroviral drugs targeting HIV reverse transcriptase. © 2009 Elsevier Inc. All rights reserved.",DNA; HUMDISEASE,Lee Y.-S.; Kennedy W.D.; Yin Y.W.,52.0,1168075.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2009
6172,SCOPUS_ID:0026534571,1312392,Ras is essential for nerve growth factor- and phorbol ester-induced tyrosine phosphorylation of MAP kinases,Cell,68.0,1031-1040,1992-03-20,Article,502,"Treatment of PC 12 cells with nerve growth factor (NGF) induces a rapid increase in tyrosine phosphorylation of multiple cellular proteins. Expression of a dominant inhibitory Ras mutant specifically blocked NGF- and TPA-induced tyrosine phosphorylation of two proteins of approximately 42 and 44 kd. Conversely, expression of an oncogenic variant of Ras induced tyrosine phosphorylation of the same 42 and 44 kd proteins. The 44 kd protein was immunoprecipitated with an antibody directed against extracellular signal-regulated kinase 1/mitogen-activated protein kinase (MAPK) and the 42 kd protein comigrated with a 42 kd MAPK, indicating that at least one and probably both Ras-regulated phosphoproteins are MAPKs. In addition, MAPK activation, as measured by in vitro phosphorylation of myelin basic protein, was also regulated by Ras. Ras was not required for NGF-induced activation of Trk or tyrosine phosphorylation of PLC-γ1. Thus, NGF-induced tyrosine phosphorylation occurs both prior to and following Ras action, and Ras plays a critical role in the NGF- and TPA-induced tyrosine phosphorylation of MAPKs. © 1992.",,Thomas S.M.; DeMarco M.; D'Arcangelo G.; Halegoua S.; Brugge J.S.,68.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1992
6138,SCOPUS_ID:0026589260,1568250,Sec61p and BiP directly facilitate polypeptide translocation into the ER,Cell,69.0,353-365,1992-04-17,Article,275,"Secretory proteins are segregated from cytosolic proteins by their translocation into the endoplasmic reticulum (ER). A modified secretory protein trapped during translocation across the ER membrane can be cross-linked to two previously identified proteins, Sec61p and BiP (Kar2p). The dependence of this cross-linking upon proteins and small molecules was examined. Mutations in SEC62 and SEC63 decrease the ability of Sec61p to be cross-linked to the secretory polypeptide trapped in translocation. ATP is also required for interaction of Sec61p with the secretory protein. Three kar2 alleles display defective translocation in vitro. Two of these alleles also decrease the ability of Sec61p to be cross-linked to the secretory protein. The third allele, while exhibiting a severe translocation defect, does not affect the interaction of Sec61p with the secretory protein. These results suggest that Sec61p is directly involved in translocation and that BiP acts at two stages of the translocation cycle. © 1992.",,Sanders S.L.; Whitfield K.M.; Vogel J.P.; Rose M.D.; Schekman R.W.,61.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1992
5846,SCOPUS_ID:0026085703,1991321,Stable length polymorphism of up to 260 kb at the tip of the short arm of human chromosome 16,Cell,64.0,595-606,1991-02-08,Article,146,"We have completed a long-range restriction map of the terminal region of the short arm of human chromosome 16 (16p13.3) by physically linking a distal genetic locus (α-globin) with two recently isolated probes to telomere-associated repeats (TelBam3.4 and TelBam11). Comparison of 47 chromosomes has revealed major polymorphic length variation in this region: we have Identified three alleles in which the α-globin genes lie 170 kb, 350 kb, or 430 kb from the telomere. The two most common alleles contain different terminal segments, starting 145 kb distal to the α-globin genes. Beyond this boundary these alleles are non-homologous, yet each contains sequences related to other (different) chromosome termini. This chromosome size polymorphism has probably arisen by occasional exchanges between the subtelomeric regions of nonhomologous chromosomes; analogous length variation is likely to be present at other human telomeres. © 1991.",,Wilkie A.O.M.; Higgs D.R.; Rack K.A.; Buckle V.J.; Spurr N.K.; Fischel-Ghodsian N.; Ceccherini I.; Brown W.R.A.; Harris P.C.,64.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991
3005,SCOPUS_ID:0021250375,6697395,Sequence of the preprotoxin dsRNA gene of type I killer yeast: Multiple processing events produce a two-component toxin,Cell,36.0,741-751,1984-01-01,Article,163,"The preprotoxin gene of the 1.9 kb M1 dsRNA genome from type I killer yeast has been sequenced employing a partial-length cDNA derived from an in vivo transcript. A single open reading frame, commencing with AUG at M1 dsRNA bases 14-16, terminates with UAG at 963-965 and codes for a 316 amino acid protein, believed to be identical to the 34 kd preprotoxin species, M,-P1, synthesized by in vitro translation of denatured M, dsRNA. N-terminal sequencing of M1-P1 confirms this prediction. Secreted toxin is shown to consist of two dissimilar, disulfide-bonded subunits, α and β, of apparent size 9.5 and 9.0 kd, respectively, whose N-terminal sequences are also found in the predicted preprotoxin sequence. Its proposed domains consist of δ, a 44 amino acid N-terminal segment, followed by α and β, which are separated by γ, a large central glycosylated segment. Processing sites, domain functions, and the potential role of γ in immunity are discussed. © 1984.",,Bostian K.A.; Elliott Q.; Bussey H.; Bum V.; Smith A.I.; Tipper D.J.,57.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1984
7752,SCOPUS_ID:0030704740,9363947,Transcytosis and surface presentation of IL-8 by venular endothelial cells,Cell,91.0,385-395,1997-10-31,Article,614,"Chemokines have been convincingly implicated in actuating inflammatory leukocyte emigration. To affect the circulating leukocytes, tissue-derived chemokines have to traverse the endothelial cells (ECs). This was thought to be accomplished by chemokine diffusion through the intercellular gaps. On the contrary, we show by electron microscopy that the prototype chemokine IL-8 is internalized by venular ECs abluminally and transcytosed to the luminal surface. Here, it is presented to the adherent leukocytes on the EC membrane, predominantly in association with the EC projections. The intact C terminus of IL-8, the molecule's 'immobilization' domain, is required for the EC binding, transcytosis, and consequently, the in vivo proemigratory activity of IL-8, indicating that the described subcellular interactions of IL-8 with the ECs are functionally relevant.",,Middleton J.; Neil S.; Wintle J.; Clark-Lewis I.; Moore H.; Charles L.; Auer M.; Elin H.; Antal R.,71.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997
5340,SCOPUS_ID:0025359062,2344614,Kinase activity controls the sorting of the epidermal growth factor receptor within the multivesicular body,Cell,61.0,623-634,1990-05-18,Article,352,"We compared the internalization and intracellular sorting of epidermal growth factor receptor (EGF-R) and point mutant kinase-negative EGF-R separately expressed in NIH 3T3 cells lacking endogenous receptor. Both EGF-Rs internalized rapidly, but kinasenegative receptor was surface down-regulated only with monensin or at 20°C. Furthermore, EGF internalized by mutant receptor alone was, in significant proportion, returned to the cell surface undegraded. Hence unlike wild-type receptor, kinase-negative EGF-R recycles. By electron microscopy the early pathways of endocytosis for the two receptors were identical; however, after 10-20 min the pathways diverged at the multivesicular body (MVB). Wild-type EGF-R, destined for degradation, localized to internal vesicles, while kinase-negative EGF-R, destined for recycling, localized to surface membranes of the MVBs and moved to small tubulovesicles. We conclude that sorting of internalized receptor for degradation or recycling can occur through spatial segregation within the MVB, and sorting of EGF-R is controlled by tyrosine kinase activity. © 1990.",,Felder S.; Miller K.; Moehren G.; Ullrich A.; Schlessinger J.; Hopkins C.R.,37.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990
12758,SCOPUS_ID:84903125623,24949976,Structure of a RING E3 trapped in action reveals ligation mechanism for the ubiquitin-like protein NEDD8,Cell,157.0,1671-1684,2014-06-19,Article,128,"Most E3 ligases use a RING domain to activate a thioester-linked E2∼ubiquitin-like protein (UBL) intermediate and promote UBL transfer to a remotely bound target protein. Nonetheless, RING E3 mechanisms matching a specific UBL and acceptor lysine remain elusive, including for RBX1, which mediates NEDD8 ligation to cullins and >10% of all ubiquitination. We report the structure of a trapped RING E3-E2∼UBL-target intermediate representing RBX1-UBC12∼NEDD8-CUL1-DCN1, which reveals the mechanism of NEDD8 ligation and how a particular UBL and acceptor lysine are matched by a multifunctional RING E3. Numerous mechanisms specify cullin neddylation while preventing noncognate ubiquitin ligation. Notably, E2-E3-target and RING-E2∼UBL modules are not optimized to function independently, but instead require integration by the UBL and target for maximal reactivity. The UBL and target regulate the catalytic machinery by positioning the RING-E2∼UBL catalytic center, licensing the acceptor lysine, and influencing E2 reactivity, thereby driving their specific coupling by a multifunctional RING E3. © 2014 Elsevier Inc.",,Scott D.C.; Sviderskiy V.O.; Monda J.K.; Lydeard J.R.; Cho S.E.; Harper J.W.; Schulman B.A.,77.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014
5567,SCOPUS_ID:0025992070,1913825,A role for the Drosophila neurogenic genes in mesoderm differentiation,Cell,67.0,311-323,1991-10-18,Article,193,"The neurogenic genes of Drosophila have long been known to regulate cell fate decisions in the developing ectoderm. In this paper we show that these genes also control mesoderm development. Embryonic cells that express the muscle-specific gene nautilus are overproduced in each of seven neurogenic mutants (Notch, Delta, Enhancer of split, big brain, mastermind, neuralized, and almodex), at the apparent expense of neighboring, nonexpressing mesodermal cells. The mesodermal defect does not appear to be a simple consequence of associated neural hypertrophy, suggesting that the neurogenic genes may function similarly and independently in establishing cell fates in both ectoderm and mesoderm. Altered patterns of β3-tubulin and myosin heavy chain gene expression in the mutants indicate a role for the neurogenic genes in development of most visceral and somatic muscles. We propose that the signal produced by the neurogenic genes is a general one, effective in both ectoderm and mesoderm. © 1991.",,Corbin V.; Michelson A.M.; Abmayr S.M.; Neel V.; Alcamo E.; Maniatis T.; Young M.W.,101.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991
14112,SCOPUS_ID:85054162432,30340039,Enhanced Dendritic Compartmentalization in Human Cortical Neurons,Cell,175.0,643-651.e14,2018-10-18,Article,94,"© 2018The biophysical features of neurons shape information processing in the brain. Cortical neurons are larger in humans than in other species, but it is unclear how their size affects synaptic integration. Here, we perform direct electrical recordings from human dendrites and report enhanced electrical compartmentalization in layer 5 pyramidal neurons. Compared to rat dendrites, distal human dendrites provide limited excitation to the soma, even in the presence of dendritic spikes. Human somas also exhibit less bursting due to reduced recruitment of dendritic electrogenesis. Finally, we find that decreased ion channel densities result in higher input resistance and underlie the lower coupling of human dendrites. We conclude that the increased length of human neurons alters their input-output properties, which will impact cortical computation. Video Abstract: Human cortical neurons exhibit a higher degree of voltage compartmentalization compared to rodent counterparts due to lower ion channel densities across larger dendritic surfaces.",biophysics; compartmentalization; computation; cortex; dendrite; human; ion channels; neuron; patch-clamp,Beaulieu-Laroche L.; Toloza E.H.S.; van der Goes M.-S.; Lafourcade M.; Barnagian D.; Williams Z.M.; Eskandar E.N.; Frosch M.P.; Cash S.S.; Harnett M.T.,59.0,734244206.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2018
5781,SCOPUS_ID:0025754853,1901765,Virus infection triggers insulin-dependent diabetes mellitus in a transgenic model: Role of anti-self (virus) immune response,Cell,65.0,319-331,1991-04-19,Article,661,"We investigated the potential association between viruses and insulin-dependent (type 1) diabetes (IDDM) by developing a transgenic mouse model. By inserting into these mice a unique viral protein that was then expressed as a self-antigen in the pancreatic islets of Langerhans, we could study the effect on that expressed antigen alone, or in concert with an induced antiviral (i.e., autoimmune) response manifested later in life in causing IDDM. Our results indicate that a viral gene introduced as early as an animal's egg stage, incorporated into the germline, and expressed in islet cells does not produce tolerance when the host is exposed to the same virus later in life. We observed that the induced anti-self (viral) CTL response leads to selective and progressive damage of β cells, resulting in IDDM. © 1991.",,Oldstone M.B.A.; Nerenberg M.; Southern P.; Price J.; Lewicki H.,64.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991
2559,SCOPUS_ID:0020728661,6831561,Isotope and thermal effects in chemiosmotic coupling to the flagellar motor of streptococcus,Cell,32.0,913-919,1983-01-01,Article,83,"The torque generated by the flagellar motor of Streptococcus strain V4051 has been determined from rates of rotation of cells tethered by a single flagellum in media of different isotopic composition and temperature. Starved cells were energized artificially with either a potassium diffusion potential or a pH gradient. The torque increased linearly with protonmotive force. Identical results were obtained in media made with D20 or H2O; there was no solvent isotope effect. At a fixed protonmotive force, the torque was approximately constant over a temperature range of 4°-38°C. In cells chemotactically inert to changes in cytoplasmic pH, the motor turned counterclockwise when protons moved inward and clockwise when they moved outward. We conclude that the motor is a reversible engine driven by simple acid-base dissociation. A detailed model is discussed. © 1983.",,Khan S.; Berg H.C.,23.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1983
12253,SCOPUS_ID:84897584115,24120140,The bacterial effector VopL organizes actin into filament-like structures,Cell,155.0,423-434,2013-10-10,Article,34,"VopL is an effector protein from Vibrio parahaemolyticus that nucleates actin filaments. VopL consists of a VopL C-terminal domain (VCD) and an array of three WASP homology 2 (WH2) motifs. Here, we report the crystal structure of the VCD dimer bound to actin. The VCD organizes three actin monomers in a spatial arrangement close to that found in the canonical actin filament. In this arrangement, WH2 motifs can be modeled into the binding site of each actin without steric clashes. The data suggest a mechanism of nucleation wherein VopL creates filament-like structures, organized by the VCD with monomers delivered by the WH2 array, that can template addition of new subunits. Similarities with Arp2/3 complex and formin proteins suggest that organization of monomers into filament-like structures is a general and central feature of actin nucleation. PaperFlick © 2013 Elsevier Inc.",,Zahm J.A.; Padrick S.B.; Chen Z.; Pak C.W.; Yunus A.A.; Henry L.; Tomchick D.R.; Chen Z.; Rosen M.K.,55.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013
2300,SCOPUS_ID:0020057108,6280877,Abnormally spliced messenger RNA in erythroid cells from patients with β+ thalassemia and monkey cells expressing a cloned β+-thalassemic gene,Cell,28.0,585-593,1982-01-01,Article,46,"The reduced β-globin synthesis characterizing the β+ thalassemia phenotype has been shown to be caused by anomalous processing within the small Intervening sequence (IVS1) of the β-globin mRNA precursor. The β-globin gene from such patients contains a single base substitution within IVS1, located 22 bp from the 3′ junction between IVS1 and exon 2, creating an alternative splice site within IVS1 and resulting in retention of the 3′-terminal 19 bases of IVS1. We have identified this abnormally spliced mRNA in the reticulocyte RNA of two patients with β+ thalassemia, by S1 nuclease mapping and primer-extension analysis. Moreover, a cloned β+-thalassemic gene preferentially generated the anomalously spliced RNA when expressed In monkey kidney cells. The anomalously spliced RNA constituted approximately 80%-90%, and normal β RNA approximately 10%-20%, of the total β mRNA. In contrast, the small amount of β mRNA present in reticulocytes from such patients consisted predominantly of normal β mRNA. These results suggest that the reduced amount of normally functioning β mRNA present in such patients results from preferential processing at the alternative splice site, with subsequent Instability, reduced nuclear processing and/or inadequate cytoplasmic transport of the abnormal RNA species. © 1982.",,Fukumaki Y.; Ghosh P.K.; Benz Jr. E.J.; Reddy V.B.; Lebowitz P.; Forget B.G.; Weissman S.M.,38.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
3988,SCOPUS_ID:0023664976,3113738,The yeast SCG1 gene: A Gα-like protein implicated in the a- and α-factor response pathway,Cell,50.0,1001-1010,1987-09-25,Article,264,"We have identified the SCG1 gene by its ability to suppress the pheromone-supersensitive sst2-1 mutation. The nucleotide sequence of SCG1 suggests that it encodes a 54 kd protein homologous to the α subunit of the vertebrate G proteins transducin, Gs, Gi, and Go. SCG1 expression and function are haploid-specific; haploid scg1 cells grow into very small colonies consisting of large, abnormally shaped cells, whereas a/α scg1/scg1 diploids show wild-type morphology, growth, and sporulation. We postulate that the SCG1 product is involved in the pheromone response pathway, and propose two models for the function of the SCG1 product. Expression of the rat αs gene in yeast partially complements both the sst2 and scg1 defects, indicating a high level of conservation of sequence and function between SCG1 and mammalian Gα subunits. © 1987.",,Dietzel C.; Kurjan J.,63.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1987
4645,SCOPUS_ID:0023864810,3278810,Cellular ras activity and phospholipid metabolism,Cell,52.0,63-71,1988-01-15,Article,210,"Cellular ras activity has been neutralized in 3T3 cells by microinjection of a specific anti-ras monoclonal antibody. The injected antibody efficiently inhibited proliferation in cells treated with a phorbol ester and a calcium ionophore, or with prostaglandin F2α. These treatments were designed to imitate the action of phospholipase C or of phospholipase A2. In addition, the highly efficient mitogenic potential of phosphatidic acid was inhibited by the injected antibody even more efficiently than was serum-induced proliferation. The close reliance of phospholipid-induced mitogenesis upon ras activity suggests that ras proteins are unlikely to function to control the action of a phospholipase. © 1988.",,Yu C.-L.; Tsai M.-H.; Stacey D.W.,46.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1988
